Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14
9,9,0,7,,0,5,8,13,7,11,0,0,0
7,11,NA,6,9,18,19,10,19,9,8,0,23,5
7,5,NA,2,,2,4,7,3,7,5,,9,0
6,0,NA,1,1,1,2,0,2,2,5,,0,5
8,15,0,5,9,2,4,4,0,5,13,,10,4
6,0,4,0,NA,0,0,0,0,0,0,,0,0
8,5,6,0,6,3,5,0,4,3,4,,0,0
5,0,4,4,,2.5,5,3,12,6,8,,7,0
4,5,4,6,9,13,2,7,5,2,14,,9,2
NA,6,4,8,6,14,4,9,20,9,23,,0,6
5,8,6,7,5,15,7,7,6,7,19,,9,0
9,0,0,1,NA,1,0,0,0,0,3,,0,0
9,0,NA,2,N/A,0,0,0,0,1,0,,0,0
NA,0,6,3,N/A,5,8,4,9,0,6,,0,0
2,15,NA,11,20,16,4,0,8,12,20,,9,5
10,11,6,15,0,17,15,10,13,14,12,,7,6
4,15,0,13,12,25,18,16,19,19,25,,22,7
NA,15,0,3,N/A,3,3,5,9,0,1,,0,6
NA,5,0,4,6,7,0,0,0,0,11,,7,6
10,15,0,7,N/A,10,3,0,3,6,3,,5,0
10,9,0,10,N/A,4,6,7,6,0,3,,0,0
5,9,NA,7,N/A,0,0,2,0,9,11,,0,1
NA,10,0,4,9,10,7,7,0,9,0,,11,0
7,11,0,5,4,7,0,11,8,8,0,,0,6
8,10,5.5,0,NA,22,9,20,0,20,25,,0,5
10,15,NA,8,8,10,4,5.5,3,6,0,,0,1
7,10,NA,12,1,0,6,6,13,14,18,,11,5
5,12,4,15,11,21,7,9,0,11,16,,0,0
6,10,5,12,4,24,21.5,9,10,7,0,,0,0
5,10,NA,9,,22,6,9,12,5,7,,6,7
NA,12,NA,8,0,0,8,0,0,0,15,,0,3
NA,2,5,3,NA,2,1,20,17,9,8,,0,0
3,15,5,17,19,11,21.5,5,0,8,9,,11,3
NA,0,NA,3,0,4,2,4,5,5,4,,9,0
9,5,NA,2,3,0,3,9,12,8,0,,7,0
8,6,5,9,0,3,3,15,16,9,8,,20,3
NA,15,2,12,18,19,17,0,1,17,18,,19,7
NA,12,1,12,NA,14,13,1,12,0,0,,0,0
NA,0,0,0,4,9,0,0,9,6,11,,0,7
NA,9,NA,0,NA,5,0,5,16,10,5,,6,0
NA,0,5,15,21,19.5,6,8,0,11,15,,14,8
8,2,4,9,0,25,5,10,0,11,18,,15,0
7,2,2,10,8,16,7,0,4,6,20,,17,9
2,7,2,0,,0,0,24,17.5,17.5,0,,0,6
5,7,2,0,NA,7,4,1.5,0,0,18.5,,19.5,10
NA,15,4,15,18,18,20,13,15,0,9.75,,0,2
7,2,N/A,0,3,1,2,1.5,0,8,0,,18,10
4,15,0,6,,9,0,6.5,8.7,10,1.25,,9.5,5
10,15,5,11,,13.5,16,5.5,11,3,2.25,,2,0
NA,13,NA,8,22,2.5,7,8.5,16,6.75,0,,0,0
4,5.5,5,3,3,8.5,0,0,0,5,13,,5.5,0
NA,2,6,9,3.5,0,8,0,3,3,13,,0,0
4,4,4,0,,0,0,8,9,9,0,,16,7
9,0,NA,6,NA,8,8,9,0,0,0,,16,7
NA,6,3.5,7,2,11.5,12,0,18,8,15,,14,6
9,0,NA,2,NA,0,0,8,0,11,5,,0,7
5,13,2,10,NA,20,15,0,0,6,0,,6,0
2,9,0,0,NA,13,7,8,12,6,0,,8,0
6,0,0,1,NA,5,7,0,9,0,0,,0,8
NA,5,0,9,NA,10,14,6,16,0,7,,22,10
4,5,6,5,0,0,0,9,14,2,7,,3,4
NA,16,NA,10,,0,0,7,2,0,5,,5,0
3,0,1,0,,7.5,0,20,20,10,23,,25,10
8,6,4,4,6,3,0,0,0,7,0,,0,0
5,15,0,8,,25,21,9,9,11,13,,12,10
8,11,0,5,,3.5,5,1,0,3,3,,0,1
9,7,0,11,5,22.5,4,8,10,7,5,,0,7
5,0,NA,4,,2,0,6,7,8,5,,11,6
8,0,0,3,,8.5,13,0,7,6,0,,10,6
5,15,4,11,3,11,7,7,13,7,17,,12,2
5,2,5,5,NA,6,3,9,13,7,24,,14,6
8,11,4,7,7,8,1.5,5,6,7,15,,0,8
5,15,2.5,7,5,7,10,0,0,2,0,,6,2
2,6,3,9,8,10,13,0,0,0,0,,0,4
8,0,NA,0,NA,0,1,0,0,17,24,,34,10
8,11,0,0,NA,0,0,12,21,13,22,,16,0
10,15,6,17,22,18,20,12,8,8,22,,26,0
8,9,4,10,9,20,13.5,5,9,8,19,,0,0
NA,9,2.5,7,,16,12,6,12,8,24,,9,0
8,10,4,5,3,0,8,10,3,11,21,,8,0
6,4,NA,5,20,10,3,9,5,10,15,,0,0
8,15,5,9,,20,11,7,10,7,0,,0,0
4,9,3,7,,4,9,0,17,6,24,,0,0
4,7,NA,5,,8,4,15,22,17.5,25,,30,10
4,12,NA,0,11,26,17,8,22,11,6,,19,6
NA,15,4,13,5,20,20.5,7,8,4,25,,20,7
7,15,NA,9,NA,6.5,11,0,0,9,10,,28,6
NA,15,NA,5,6,26,13,7,6,7,13,,0,0
6,4,NA,3,3,1,1,0,0,3.5,4,,8,0
9,5,6,7,NA,0,3,3,12,0,1,,4,0
6,13,4,4,5,3.5,2,5,0,11.5,5,,8,3
7,6,NA,5,NA,11,4,0,19,8,28,,12,9
8,12,NA,7,4,16,8,0,7,8,15,,12,6
7,12,3,13,9,21,14,5,5,4,17,,13,6
6,3,NA,2,2,3,8,8,1,6,0,,0,8
NA,0,5,3,6,4,0,6,6,6,16,,14,NA
8,0,0,0,NA,0,2,11,22,10,25,,21,NA
7,6,0,8,12,17,12.5,11,0,9,20,,16,8
NA,9,0,11,18,16,15,0,20,10,25,,22,7
